# delta_L(z=0)            delta_SC                  ddelta_SC/ddelta_L
-1.207539726893621790e+01 -9.665425635402639104e-01 3.799451533213535955e-03
-1.205693732012054298e+01 -9.664723039063090049e-01 3.812674933216677817e-03
-1.203850438053834360e+01 -9.664019029127771665e-01 3.825943087140671901e-03
-1.202009841046822736e+01 -9.663313602978754746e-01 3.839256140133163412e-03
-1.200171937024749269e+01 -9.662606757994083306e-01 3.852614237781438068e-03
-1.198336722027203649e+01 -9.661898491547769030e-01 3.866017526113619054e-03
-1.196504192099628128e+01 -9.661188801009787941e-01 3.879466151599865725e-03
-1.194674343293307395e+01 -9.660477683746078181e-01 3.892960261153520247e-03
-1.192847171665361472e+01 -9.659765137118534462e-01 3.906500002132330153e-03
-1.191022673278735944e+01 -9.659051158485008060e-01 3.920085522339635323e-03
-1.189200844202194496e+01 -9.658335745199300160e-01 3.933716970025527213e-03
-1.187381680510308790e+01 -9.657618894611161853e-01 3.947394493888090918e-03
-1.185565178283451715e+01 -9.656900604066293026e-01 3.961118243074557461e-03
-1.183751333607787970e+01 -9.656180870906330149e-01 3.974888367182545859e-03
-1.181940142575265540e+01 -9.655459692468852939e-01 3.988705016261221911e-03
-1.180131601283606635e+01 -9.654737066087376585e-01 4.002568340812539399e-03
-1.178325705836300941e+01 -9.654012989091349528e-01 4.016478491792421432e-03
-1.176522452342595315e+01 -9.653287458806151244e-01 4.030435620611997304e-03
-1.174721836917485618e+01 -9.652560472553087800e-01 4.044439879138769095e-03
-1.172923855681709782e+01 -9.651832027649387413e-01 4.058491419697881492e-03
-1.171128504761737865e+01 -9.651102121408203782e-01 4.072590395073295323e-03
-1.169335780289763171e+01 -9.650370751138603875e-01 4.086736958509017484e-03
-1.167545678403695852e+01 -9.649637914145573481e-01 4.100931263710347330e-03
-1.165758195247152784e+01 -9.648903607730008325e-01 4.115173464845063231e-03
-1.163973326969449928e+01 -9.648167829188712963e-01 4.129463716544667234e-03
-1.162191069725593451e+01 -9.647430575814399667e-01 4.143802173905621923e-03
-1.160411419676271549e+01 -9.646691844895681767e-01 4.158188992490563854e-03
-1.158634372987846994e+01 -9.645951633717074758e-01 4.172624328329548223e-03
-1.156859925832347358e+01 -9.645209939558990753e-01 4.187108337921291792e-03
-1.155088074387457198e+01 -9.644466759697734037e-01 4.201641178234379395e-03
-1.153318814836510775e+01 -9.643722091405504404e-01 4.216223006708552830e-03
-1.151552143368481396e+01 -9.642975931950386048e-01 4.230853981255918231e-03
-1.149788056177975903e+01 -9.642228278596348678e-01 4.245534260262202007e-03
-1.148026549465224377e+01 -9.641479128603249737e-01 4.260264002588005049e-03
-1.146267619436072849e+01 -9.640728479226819969e-01 4.275043367570047388e-03
-1.144511262301974064e+01 -9.639976327718670079e-01 4.289872515022419806e-03
-1.142757474279981089e+01 -9.639222671326286296e-01 4.304751605237861455e-03
-1.141006251592737009e+01 -9.638467507293022596e-01 4.319680798988955947e-03
-1.139257590468467818e+01 -9.637710832858104038e-01 4.334660257529480108e-03
-1.137511487140974076e+01 -9.636952645256618988e-01 4.349690142595613075e-03
-1.135767937849622733e+01 -9.636192941719520233e-01 4.364770616407200911e-03
-1.134026938839338605e+01 -9.635431719473620538e-01 4.379901841669036830e-03
-1.132288486360596558e+01 -9.634668975741588204e-01 4.395083981572124945e-03
-1.130552576669413156e+01 -9.633904707741947071e-01 4.410317199794986515e-03
-1.128819206027338851e+01 -9.633138912689072075e-01 4.425601660504864705e-03
-1.127088370701449627e+01 -9.632371587793188139e-01 4.440937528359085486e-03
-1.125360066964338301e+01 -9.631602730260365730e-01 4.456324968506265860e-03
-1.123634291094107596e+01 -9.630832337292516421e-01 4.471764146587651340e-03
-1.121911039374360719e+01 -9.630060406087396219e-01 4.487255228738347597e-03
-1.120190308094194620e+01 -9.629286933838597795e-01 4.502798381588677887e-03
-1.118472093548191104e+01 -9.628511917735547154e-01 4.518393772265399955e-03
-1.116756392036408485e+01 -9.627735354963505854e-01 4.534041568393053917e-03
-1.115043199864374479e+01 -9.626957242703563233e-01 4.549741938095223405e-03
-1.113332513343077323e+01 -9.626177578132637525e-01 4.565495049995846148e-03
-1.111624328788958316e+01 -9.625396358423470300e-01 4.581301073220522824e-03
-1.109918642523903287e+01 -9.624613580744626473e-01 4.597160177397793812e-03
-1.108215450875235142e+01 -9.623829242260489858e-01 4.613072532660457588e-03
-1.106514750175705331e+01 -9.623043340131260948e-01 4.629038309646911660e-03
-1.104816536763486212e+01 -9.622255871512954695e-01 4.645057679502395502e-03
-1.103120806982163415e+01 -9.621466833557399401e-01 4.661130813880351442e-03
-1.101427557180726424e+01 -9.620676223412228945e-01 4.677257884943726574e-03
-1.099736783713563071e+01 -9.619884038220887224e-01 4.693439065366289409e-03
-1.098048482940449055e+01 -9.619090275122620382e-01 4.709674528333948271e-03
-1.096362651226541907e+01 -9.618294931252476809e-01 4.725964447546060140e-03
-1.094679284942371744e+01 -9.617498003741304924e-01 4.742308997216791548e-03
-1.092998380463834529e+01 -9.616699489715748728e-01 4.758708352076411810e-03
-1.091319934172183359e+01 -9.615899386298245588e-01 4.775162687372631366e-03
-1.089643942454020653e+01 -9.615097690607027348e-01 4.791672178871937519e-03
-1.087970401701290868e+01 -9.614294399756111442e-01 4.808237002860931038e-03
-1.086299308311272149e+01 -9.613489510855304232e-01 4.824857336147648883e-03
-1.084630658686568694e+01 -9.612683021010197670e-01 4.841533356062916425e-03
-1.082964449235102400e+01 -9.611874927322164863e-01 4.858265240461691857e-03
