# variances: var_g = 4.85771e-02 ;  cov_gk = 5.81613e-04 ;  var_k_correlated = 8.96469e-06 ;  var_k_uncorrelated = 4.05325e-05
# shift params: lambda_g = 1.46148e+00 ;  lambda_k_correlated = 2.44045e-02 ;  lambda_k_uncorrelated = 5.73463e-02
# ell          C_gg(ell)          C_gk(ell)          C_kk_correlated(ell)          C_kk_uncorrelated(ell)
0    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
1    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00
2    6.83088e-06    8.18996e-08    1.50967e-09    3.93634e-08
3    1.19698e-05    1.43496e-07    2.62922e-09    5.63233e-08
4    1.62448e-05    1.94723e-07    3.54601e-09    6.48973e-08
5    1.99527e-05    2.39142e-07    4.32871e-09    6.96959e-08
6    2.32277e-05    2.78365e-07    5.00930e-09    7.21795e-08
7    2.61453e-05    3.13298e-07    5.60622e-09    7.33097e-08
8    2.87550e-05    3.44537e-07    6.13179e-09    7.36576e-08
9    3.10932e-05    3.72520e-07    6.59509e-09    7.33854e-08
10    3.31887e-05    3.97591e-07    7.00323e-09    7.26846e-08
11    3.50649e-05    4.20033e-07    7.36200e-09    7.17057e-08
12    3.67418e-05    4.40086e-07    7.67624e-09    7.05587e-08
13    3.82365e-05    4.57954e-07    7.95009e-09    6.92941e-08
14    3.95639e-05    4.73817e-07    8.18711e-09    6.79163e-08
15    4.07372e-05    4.87833e-07    8.39041e-09    6.64666e-08
16    4.17681e-05    5.00142e-07    8.56276e-09    6.49980e-08
17    4.26669e-05    5.10868e-07    8.70661e-09    6.35326e-08
18    4.34429e-05    5.20124e-07    8.82419e-09    6.20704e-08
19    4.41047e-05    5.28011e-07    8.91750e-09    6.06099e-08
20    4.46598e-05    5.34620e-07    8.98841e-09    5.91620e-08
21    4.51153e-05    5.40035e-07    9.03862e-09    5.77412e-08
22    4.54775e-05    5.44335e-07    9.06975e-09    5.63560e-08
23    4.57525e-05    5.47590e-07    9.08329e-09    5.50084e-08
24    4.59458e-05    5.49867e-07    9.08067e-09    5.36975e-08
25    4.60626e-05    5.51229e-07    9.06323e-09    5.24214e-08
26    4.61078e-05    5.51736e-07    9.03226e-09    5.11795e-08
27    4.60861e-05    5.51442e-07    8.98898e-09    4.99734e-08
28    4.60019e-05    5.50404e-07    8.93457e-09    4.88064e-08
29    4.58597e-05    5.48672e-07    8.87014e-09    4.76804e-08
30    4.56635e-05    5.46296e-07    8.79674e-09    4.65940e-08
31    4.54174e-05    5.43326e-07    8.71539e-09    4.55441e-08
32    4.51253e-05    5.39807e-07    8.62705e-09    4.45276e-08
33    4.47910e-05    5.35787e-07    8.53261e-09    4.35434e-08
34    4.44183e-05    5.31310e-07    8.43292e-09    4.25915e-08
35    4.40106e-05    5.26418e-07    8.32880e-09    4.16723e-08
36    4.35716e-05    5.21155e-07    8.22097e-09    4.07853e-08
37    4.31046e-05    5.15560e-07    8.11013e-09    3.99290e-08
38    4.26130e-05    5.09674e-07    7.99693e-09    3.91017e-08
39    4.20999e-05    5.03534e-07    7.88195e-09    3.83016e-08
40    4.15683e-05    4.97177e-07    7.76574e-09    3.75270e-08
41    4.10212e-05    4.90637e-07    7.64879e-09    3.67768e-08
42    4.04614e-05    4.83948e-07    7.53155e-09    3.60501e-08
43    3.98915e-05    4.77141e-07    7.41442e-09    3.53464e-08
44    3.93139e-05    4.70245e-07    7.29778e-09    3.46651e-08
45    3.87311e-05    4.63288e-07    7.18194e-09    3.40052e-08
46    3.81452e-05    4.56296e-07    7.06720e-09    3.33659e-08
47    3.75582e-05    4.49292e-07    6.95380e-09    3.27460e-08
48    3.69720e-05    4.42300e-07    6.84198e-09    3.21443e-08
49    3.63882e-05    4.35337e-07    6.73191e-09    3.15597e-08
50    3.58085e-05    4.28424e-07    6.62378e-09    3.09916e-08
51    3.52341e-05    4.21575e-07    6.51771e-09    3.04393e-08
52    3.46664e-05    4.14807e-07    6.41381e-09    2.99025e-08
53    3.41064e-05    4.08131e-07    6.31220e-09    2.93807e-08
54    3.35552e-05    4.01560e-07    6.21293e-09    2.88733e-08
55    3.30135e-05    3.95102e-07    6.11606e-09    2.83797e-08
56    3.24821e-05    3.88767e-07    6.02163e-09    2.78992e-08
57    3.19616e-05    3.82562e-07    5.92967e-09    2.74312e-08
58    3.14524e-05    3.76492e-07    5.84019e-09    2.69751e-08
59    3.09551e-05    3.70563e-07    5.75318e-09    2.65304e-08
60    3.04699e-05    3.64778e-07    5.66863e-09    2.60968e-08
61    2.99970e-05    3.59139e-07    5.58652e-09    2.56737e-08
62    2.95367e-05    3.53650e-07    5.50682e-09    2.52610e-08
63    2.90890e-05    3.48311e-07    5.42948e-09    2.48584e-08
64    2.86540e-05    3.43122e-07    5.35447e-09    2.44655e-08
65    2.82316e-05    3.38084e-07    5.28172e-09    2.40819e-08
66    2.78219e-05    3.33196e-07    5.21118e-09    2.37074e-08
67    2.74246e-05    3.28456e-07    5.14279e-09    2.33415e-08
68    2.70398e-05    3.23863e-07    5.07648e-09    2.29841e-08
69    2.66671e-05    3.19416e-07    5.01218e-09    2.26346e-08
70    2.63065e-05    3.15111e-07    4.94981e-09    2.22930e-08
71    2.59577e-05    3.10947e-07    4.88931e-09    2.19590e-08
72    2.56205e-05    3.06921e-07    4.83060e-09    2.16324e-08
73    2.52946e-05    3.03029e-07    4.77359e-09    2.13130e-08
74    2.49798e-05    2.99268e-07    4.71822e-09    2.10006e-08
