#Cosmological Parameters: Om_m = 3.1750000000e-01, Om_l = 6.8250000000e-01, Om_r = 0.0000000000e+00
#a_max = 1.0100000000e+00
#t              eta(t)              w(eta)              z(eta)              a(eta)              H(eta)       H_prime(eta)
1.4789275167e-07    1.7747130195e-02    3.2120287802e+00    3.9999000000e+04    2.5000000000e-05    1.1269427670e+02   -6.3500000000e+03
5.3165169620e-07    2.7186600589e-02    3.2025893098e+00    1.7044370607e+04    5.8666955565e-05    7.3565652092e+01   -2.7059525839e+03
1.0497326956e-06    3.4106625060e-02    3.1956692853e+00    1.0829257137e+04    9.2333911130e-05    5.8639633704e+01   -1.7193033205e+03
1.6733900209e-06    3.9842345493e-02    3.1899335649e+00    7.9354533453e+03    1.2600086670e-04    5.0197847933e+01   -1.2599119686e+03
2.3870580413e-06    4.4850452793e-02    3.1849254576e+00    6.2620026880e+03    1.5966782226e-04    4.4592637884e+01   -9.9425167670e+02
3.1805472488e-06    4.9352950642e-02    3.1804229597e+00    5.1713751476e+03    1.9333477783e-04    4.0524426084e+01   -8.2111455466e+02
4.0465101713e-06    5.3477699637e-02    3.1762982107e+00    4.4042527047e+03    2.2700173339e-04    3.7398766474e+01   -6.9933386684e+02
4.9793216069e-06    5.7306325827e-02    3.1724695845e+00    3.8352873731e+03    2.6066868896e-04    3.4900161045e+01   -6.0901062043e+02
5.9744944868e-06    6.0894709139e-02    3.1688812012e+00    3.3964818158e+03    2.9433564452e-04    3.2843575880e+01   -5.3935023820e+02
7.0283406982e-06    6.4283094375e-02    3.1654928160e+00    3.0477563200e+03    3.2800260009e-04    3.1112379075e+01   -4.8399006573e+02
8.1377586430e-06    6.7501606231e-02    3.1622743041e+00    2.7639548721e+03    3.6166955565e-04    2.9628924584e+01   -4.3893658586e+02
9.3000924154e-06    7.0573489818e-02    3.1592024205e+00    2.5284906279e+03    3.9533651122e-04    2.8339253245e+01   -4.0155663708e+02
1.0513034237e-05    7.3517127844e-02    3.1562587825e+00    2.3299834941e+03    4.2900346678e-04    2.7204544832e+01   -3.7004362957e+02
1.1774554420e-05    7.6347355604e-02    3.1534285547e+00    2.1603657405e+03    4.6267042235e-04    2.6196061207e+01   -3.4311681116e+02
1.3082849612e-05    7.9076351262e-02    3.1506995591e+00    2.0137585987e+03    4.9633737791e-04    2.5292011689e+01   -3.1984292737e+02
1.4436303603e-05    8.1714257937e-02    3.1480616524e+00    1.8857770258e+03    5.3000433348e-04    2.4475532801e+01   -2.9952585266e+02
1.5833457023e-05    8.4269630185e-02    3.1455062802e+00    1.7730836183e+03    5.6367128904e-04    2.3733342559e+01   -2.8163577419e+02
1.7272983499e-05    8.6749761917e-02    3.1430261484e+00    1.6730933785e+03    5.9733824461e-04    2.3054818323e+01   -2.6576232359e+02
1.8753670601e-05    8.9160932106e-02    3.1406149782e+00    1.5837729935e+03    6.3100520017e-04    2.2431349173e+01   -2.5158271245e+02
2.0274404399e-05    9.1508592138e-02    3.1382673182e+00    1.5035011159e+03    6.6467215574e-04    2.1855871170e+01   -2.3883955184e+02
2.1834156805e-05    9.3797510928e-02    3.1359783994e+00    1.4309690589e+03    6.9833911130e-04    2.1322527442e+01   -2.2732508777e+02
2.3431975082e-05    9.6031888857e-02    3.1337440215e+00    1.3651088962e+03    7.3200606687e-04    2.0826415316e+01   -2.1686978690e+02
2.5066973064e-05    9.8215448370e-02    3.1315604620e+00    1.3050405300e+03    7.6567302243e-04    2.0363395313e+01   -2.0733393373e+02
2.6738323745e-05    1.0035150681e-01    3.1294244035e+00    1.2500321359e+03    7.9933997800e-04    1.9929944897e+01   -1.9860135114e+02
2.8445252975e-05    1.0244303559e-01    3.1273328748e+00    1.1994701998e+03    8.3300693356e-04    1.9523045073e+01   -1.9057464375e+02
3.0187034059e-05    1.0449270865e-01    3.1252832017e+00    1.1528365382e+03    8.6667388913e-04    1.9140091468e+01   -1.8317154993e+02
3.1962983095e-05    1.0650294260e-01    3.1232729677e+00    1.1096904745e+03    9.0034084469e-04    1.8778823877e+01   -1.7632211227e+02
3.3772454933e-05    1.0847593007e-01    3.1212999803e+00    1.0696548700e+03    9.3400780026e-04    1.8437269913e+01   -1.6996646002e+02
3.5614839649e-05    1.1041366774e-01    3.1193622426e+00    1.0324050713e+03    9.6767475583e-04    1.8113699533e+01   -1.6405305442e+02
3.7489559449e-05    1.1231798006e-01    3.1174579303e+00    9.9766008639e+02    1.0013417114e-03    1.7806588054e+01   -1.5853728803e+02
3.9396065943e-05    1.1419053930e-01    3.1155853710e+00    9.6517548425e+02    1.0350086670e-03    1.7514585835e+01   -1.5338035739e+02
4.1333837734e-05    1.1603288278e-01    3.1137430276e+00    9.3473763537e+02    1.0686756225e-03    1.7236493263e+01   -1.4854834884e+02
4.3302378274e-05    1.1784642764e-01    3.1119294827e+00    9.0615900835e+02    1.1023425781e-03    1.6971239966e+01   -1.4401149175e+02
4.5301213946e-05    1.1963248358e-01    3.1101434268e+00    8.7927430262e+02    1.1360095337e-03    1.6717867447e+01   -1.3974354466e+02
4.7329892357e-05    1.2139226396e-01    3.1083836464e+00    8.5393724908e+02    1.1696764892e-03    1.6475514484e+01   -1.3572128736e+02
4.9387980796e-05    1.2312689539e-01    3.1066490150e+00    8.3001794782e+02    1.2033434448e-03    1.6243404798e+01   -1.3192409823e+02
5.1475064847e-05    1.2483742624e-01    3.1049384841e+00    8.0740064054e+02    1.2370104003e-03    1.6020836570e+01   -1.2833360064e+02
